,AnoMes,quantidadePix,quantidadeTED,quantidadeDOC
62,201901,0.0,63989.55,0.0
61,201902,0.0,66873.19,0.0
60,201903,0.0,68864.52,0.0
59,201904,0.0,76575.18,0.0
58,201905,0.0,80987.19,0.0
57,201906,0.0,75081.8,0.0
56,201907,0.0,88864.91,0.0
55,201908,0.0,91220.31,0.0
54,201909,0.0,96570.84,0.0
53,201910,0.0,105182.29,0.0
52,201911,0.0,101969.12,0.0
51,201912,0.0,117198.49,0.0
50,202001,0.0,108115.83,0.0
49,202002,0.0,102809.73,0.0
48,202003,0.0,118460.64,0.0
47,202004,0.0,117480.02,0.0
46,202005,0.0,123833.66,0.0
45,202006,0.0,140072.83,0.0
44,202007,0.0,177019.49,0.0
43,202008,0.0,176588.52,0.0
42,202009,0.0,187549.69,0.0
41,202010,0.0,193914.69,0.0
40,202011,32867.36,191703.38,0.0
39,202012,143339.29,189261.59,0.0
38,202101,199611.49,122663.27,0.0
37,202102,273167.83,111617.8,0.0
36,202103,389558.55,119890.41,0.0
35,202104,494733.63,110989.05,0.0
34,202105,641530.48,115346.16,0.0
33,202106,735299.77,107582.53,0.0
32,202107,873876.23,102448.1,0.0
31,202108,961033.47,99440.21,0.0
30,202109,1028427.24,94312.02,0.0
29,202110,1167627.95,91544.91,0.0
28,202111,1226445.29,96520.8,0.0
27,202112,1442212.36,105998.02,0.0
26,202201,1284230.01,84458.74,0.0
25,202202,1367497.83,79412.96,0.0
24,202203,1598295.91,93022.24,0.0
23,202204,1664792.46,82723.74,0.0
22,202205,1856767.98,87854.94,0.0
21,202206,1925887.77,84009.11,0.0
20,202207,2060630.59,82325.31,0.0
19,202208,2180316.75,88850.51,0.0
18,202209,2287675.99,85504.31,0.0
17,202210,2436652.95,79833.93,0.0
16,202211,2499996.99,83094.38,0.0
15,202212,2876769.59,91361.54,0.0
14,202301,2581686.53,77982.34,0.0
13,202302,2544697.48,70232.83,0.0
12,202303,3011737.3,80528.82,0.0
11,202304,2922015.42,69286.74,0.0
10,202305,3201511.79,75894.99,0.0
9,202306,3309387.29,73637.38,0.0
8,202307,3545725.09,71737.31,0.0
7,202308,3781464.31,76572.58,0.0
6,202309,3862720.09,69407.76,0.0
5,202310,4088179.75,71870.52,0.0
4,202311,4258813.9,74398.37,0.0
3,202312,4839063.91,80202.26,0.0
2,202401,4404132.61,70343.25,598.81
1,202402,4398131.9,65805.87,62.7
0,202403,4937608.76,67565.05,1.14
